Date,FnG_Value,Classification
2025-10-20,17,Extreme Fear
2025-10-19,11,Extreme Fear
2025-10-18,5,Extreme Fear
2025-10-17,6,Extreme Fear
2025-10-16,5,Extreme Fear
2025-10-15,5,Extreme Fear
2025-10-14,5,Extreme Fear
2025-10-13,5,Extreme Fear
2025-10-12,5,Extreme Fear
2025-10-11,9,Extreme Fear
2025-10-10,12,Extreme Fear
2025-10-09,5,Extreme Fear
2025-10-08,5,Extreme Fear
2025-10-07,5,Extreme Fear
2025-10-06,8,Extreme Fear
2025-10-05,5,Extreme Fear
2025-10-04,5,Extreme Fear
2025-10-03,9,Extreme Fear
2025-10-02,13,Extreme Fear
2025-10-01,12,Extreme Fear
2025-09-30,14,Extreme Fear
2025-09-29,22,Extreme Fear
2025-09-28,18,Extreme Fear
2025-09-27,24,Extreme Fear
2025-09-26,33,Fear
2025-09-25,26,Fear
2025-09-24,20,Extreme Fear
2025-09-23,16,Extreme Fear
2025-09-22,18,Extreme Fear
2025-09-21,22,Extreme Fear
2025-09-20,22,Extreme Fear
2025-09-19,15,Extreme Fear
2025-09-18,17,Extreme Fear
2025-09-17,13,Extreme Fear
2025-09-16,21,Extreme Fear
2025-09-15,12,Extreme Fear
2025-09-14,11,Extreme Fear
2025-09-13,13,Extreme Fear
2025-09-12,23,Extreme Fear
2025-09-11,18,Extreme Fear
2025-09-10,19,Extreme Fear
2025-09-09,20,Extreme Fear
2025-09-08,29,Fear
2025-09-07,29,Fear
2025-09-06,25,Extreme Fear
2025-09-05,15,Extreme Fear
2025-09-04,5,Extreme Fear
2025-09-03,14,Extreme Fear
2025-09-02,16,Extreme Fear
2025-09-01,14,Extreme Fear
2025-08-31,6,Extreme Fear
2025-08-30,5,Extreme Fear
2025-08-29,5,Extreme Fear
2025-08-28,5,Extreme Fear
2025-08-27,5,Extreme Fear
2025-08-26,5,Extreme Fear
2025-08-25,5,Extreme Fear
2025-08-24,13,Extreme Fear
2025-08-23,12,Extreme Fear
2025-08-22,13,Extreme Fear
2025-08-21,17,Extreme Fear
2025-08-20,15,Extreme Fear
2025-08-19,24,Extreme Fear
2025-08-18,30,Fear
2025-08-17,36,Fear
2025-08-16,45,Fear
2025-08-15,46,Neutral
2025-08-14,42,Fear
2025-08-13,33,Fear
2025-08-12,25,Extreme Fear
2025-08-11,31,Fear
2025-08-10,25,Extreme Fear
2025-08-09,31,Fear
2025-08-08,37,Fear
2025-08-07,43,Fear
2025-08-06,34,Fear
2025-08-05,25,Extreme Fear
2025-08-04,19,Extreme Fear
2025-08-03,9,Extreme Fear
2025-08-02,5,Extreme Fear
2025-08-01,13,Extreme Fear
2025-07-31,5,Extreme Fear
2025-07-30,15,Extreme Fear
2025-07-29,16,Extreme Fear
2025-07-28,11,Extreme Fear
2025-07-27,5,Extreme Fear
2025-07-26,5,Extreme Fear
2025-07-25,11,Extreme Fear
2025-07-24,6,Extreme Fear
2025-07-23,5,Extreme Fear
2025-07-22,14,Extreme Fear
2025-07-21,5,Extreme Fear
2025-07-20,5,Extreme Fear
2025-07-19,5,Extreme Fear
2025-07-18,10,Extreme Fear
2025-07-17,15,Extreme Fear
2025-07-16,5,Extreme Fear
2025-07-15,5,Extreme Fear
2025-07-14,5,Extreme Fear
2025-07-13,10,Extreme Fear
2025-07-12,5,Extreme Fear
2025-07-11,14,Extreme Fear
2025-07-10,7,Extreme Fear
2025-07-09,15,Extreme Fear
2025-07-08,7,Extreme Fear
2025-07-07,15,Extreme Fear
2025-07-06,24,Extreme Fear
2025-07-05,20,Extreme Fear
2025-07-04,29,Fear
2025-07-03,27,Fear
2025-07-02,17,Extreme Fear
2025-07-01,14,Extreme Fear
2025-06-30,10,Extreme Fear
2025-06-29,17,Extreme Fear
2025-06-28,14,Extreme Fear
2025-06-27,5,Extreme Fear
2025-06-26,5,Extreme Fear
2025-06-25,12,Extreme Fear
2025-06-24,11,Extreme Fear
2025-06-23,5,Extreme Fear
2025-06-22,5,Extreme Fear
2025-06-21,10,Extreme Fear
2025-06-20,15,Extreme Fear
2025-06-19,24,Extreme Fear
2025-06-18,30,Fear
2025-06-17,21,Extreme Fear
2025-06-16,11,Extreme Fear
2025-06-15,16,Extreme Fear
2025-06-14,17,Extreme Fear
2025-06-13,11,Extreme Fear
2025-06-12,5,Extreme Fear
2025-06-11,5,Extreme Fear
2025-06-10,5,Extreme Fear
2025-06-09,5,Extreme Fear
2025-06-08,13,Extreme Fear
2025-06-07,18,Extreme Fear
2025-06-06,23,Extreme Fear
2025-06-05,15,Extreme Fear
2025-06-04,24,Extreme Fear
2025-06-03,14,Extreme Fear
2025-06-02,23,Extreme Fear
2025-06-01,23,Extreme Fear
2025-05-31,29,Fear
2025-05-30,26,Fear
2025-05-29,19,Extreme Fear
